timestamp,temperature,humidity,soil_moisture,light,rainfall,image_status,vision_confidence,uncertainty_case,robot_x_m,robot_y_m,robot_heading_deg,region_id,path_segment,patrol_loop
2026-08-03 00:00,17.6,73.2,37.8,0,0.0,healthy,0.95,normal,10.0,11.0,90,R01C01,row_1,1
2026-08-03 01:00,19.0,75.3,37.5,0,0.0,healthy,0.95,normal,31.0,10.9,90,R01C02,row_1,1
2026-08-03 02:00,20.9,72.2,37.6,0,0.0,healthy,0.93,normal,51.5,10.5,90,R01C03,row_1,1
2026-08-03 03:00,20.3,72.2,37.3,0,0.0,healthy,0.92,normal,71.3,10.1,90,R01C04,row_1,1
2026-08-03 04:00,22.2,78.6,36.5,0,0.0,healthy,0.83,normal,90.5,9.6,90,R01C05,row_1,1
2026-08-03 05:00,22.4,75.4,36.5,0,0.0,healthy,0.95,normal,109.5,9.2,90,R01C06,row_1,1
2026-08-03 06:00,25.9,52.5,35.7,0,0.0,pest,0.64,normal,108.7,29.0,270,R02C06,row_2,1
2026-08-03 07:00,28.6,58.2,34.9,205,0.0,healthy,0.88,normal,88.5,29.1,270,R02C05,row_2,1
2026-08-03 08:00,30.8,59.3,34.2,470,0.0,healthy,0.95,normal,69.1,29.3,270,R02C04,row_2,1
2026-08-03 09:00,32.8,58.6,32.4,566,0.0,healthy,0.91,normal,50.0,29.8,270,R02C03,row_2,1
2026-08-03 10:00,32.3,69.2,31.3,716,0.0,healthy,0.89,normal,31.0,30.3,270,R02C02,row_2,1
2026-08-03 11:00,31.7,63.5,29.7,972,0.0,healthy,0.84,normal,11.5,30.7,270,R02C01,row_2,1
2026-08-03 12:00,37.3,62.6,28.1,899,0.0,healthy,0.84,normal,11.3,51.0,90,R03C01,row_3,1
2026-08-03 13:00,34.3,59.3,26.1,866,0.0,healthy,0.96,normal,30.5,51.0,90,R03C02,row_3,1
2026-08-03 14:00,33.3,60.1,24.3,867,0.0,healthy,0.95,normal,49.5,50.8,90,R03C03,row_3,1
2026-08-03 15:00,30.9,57.5,22.6,689,0.0,healthy,0.83,normal,68.7,50.3,90,R03C04,row_3,1
2026-08-03 16:00,30.0,56.9,21.2,448,0.0,drought,0.86,normal,88.5,49.9,90,R03C05,row_3,1
2026-08-03 17:00,31.4,57.3,19.8,222,0.0,drought,0.90,normal,109.1,49.4,90,R03C06,row_3,1
2026-08-03 18:00,27.1,65.0,19.2,0,0.0,healthy,0.93,normal,110.1,69.1,270,R04C06,row_4,1
2026-08-03 19:00,27.1,68.7,18.5,0,0.0,healthy,0.84,normal,91.0,69.0,270,R04C05,row_4,1
2026-08-03 20:00,23.4,75.4,17.9,0,0.0,healthy,0.90,normal,71.5,69.2,270,R04C04,row_4,1
2026-08-03 21:00,18.1,88.8,18.4,0,0.0,healthy,0.84,normal,51.3,69.5,270,R04C03,row_4,1
2026-08-03 22:00,21.1,72.5,17.8,0,0.0,healthy,0.97,normal,30.5,70.0,270,R04C02,row_4,1
2026-08-03 23:00,18.0,74.3,17.5,0,0.0,healthy,0.84,normal,9.4,70.5,270,R04C01,row_4,1
2026-08-04 00:00,21.1,74.1,17.7,0,0.0,healthy,0.90,normal,8.7,10.8,90,R01C01,row_1,2
2026-08-04 01:00,19.4,65.0,17.7,0,0.0,healthy,0.89,normal,28.5,11.0,90,R01C02,row_1,2
2026-08-04 02:00,18.7,72.8,17.5,0,0.0,healthy,0.89,normal,49.1,10.9,90,R01C03,row_1,2
2026-08-04 03:00,19.5,87.2,17.2,0,0.0,healthy,0.91,normal,70.1,10.6,90,R01C04,row_1,2
2026-08-04 04:00,21.0,78.1,16.9,0,0.0,healthy,0.82,normal,91.0,10.1,90,R01C05,row_1,2
